Exists,Page Name,Pages That Link To This Page,Pages Linked from This Page
No,/index.php,,"/index.php/Epilepsy_and_sudden_death:_notes_from_George_Washington's_diaries_on_the_illness_and_death_of_Martha_Parke-Custis_(1756-1773)/index.php/The_sudden_death_of_Patsy_Custis,_or_George_Washington_on_sudden_unexplained_death_in_epilepsy/index.php/Sudden_unexpected_death_in_epilepsy:_Current_knowledge_and_future_directions/index.php/Cardiac_causes_of_sudden_unexpected_death_in_children_and_their_relationship_to_seizures_and_syncope:_Genetic_testing_for_cardiac_electropathies/index.php/Cases_of_diseases_of_the_heart_accompanied_with_pathological_observations"
Yes,/index.php/Epilepsy_and_sudden_death:_notes_from_George_Washington's_diaries_on_the_illness_and_death_of_Martha_Parke-Custis_(1756-1773),"/index.php//www.mediawiki.org/",
Yes,"/index.php/The_sudden_death_of_Patsy_Custis,_or_George_Washington_on_sudden_unexplained_death_in_epilepsy","/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_Current_knowledge_and_future_directions,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_causes_of_sudden_unexpected_death_in_children_and_their_relationship_to_seizures_and_syncope:_Genetic_testing_for_cardiac_electropathies,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cases_of_diseases_of_the_heart_accompanied_with_pathological_observations,"/index.php/index.php/Observations_on_some_cases_of_permanently_slow_pulse//www.mediawiki.org/",/index.php/Observations_on_some_cases_of_permanently_slow_pulse
Yes,/index.php/Spreading_depolarization_in_the_brainstem_mediates_sudden_cardiorespiratory_arrest_in_mouse_SUDEP_models,"/index.php//www.mediawiki.org/",
Yes,/index.php/Increased_QT_dispersion_in_epileptic_children,"/index.php/index.php/New_SCN5A_mutation_in_a_SUDEP_victim_with_idiopathic_epilepsy/index.php/The_cardiac_sodium_channel_mRNA_is_expressed_in_the_developing_and_adult_rat_and_human_brain/index.php/QT_dispersion/index.php/Prevalence_of_cardiac_conduction_disturbances_during_carbamazepine_treatment:_Preliminary_data",
Yes,/index.php/Postictal_heart_rate_oscillations_in_partial_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Risk_factors_of_postictal_generalized_EEG_suppression_in_generalized_convulsive_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cerebral_arrhythmia_influencing_cardiac_rhythm:_A_case_of_ictal_bradycardia,"/index.php//www.mediawiki.org/",
Yes,/index.php/Circulatory_and_respiratory_changes_induced_by_electrical_stimulation_of_limbic_system_(visceral_brain),"/index.php//www.mediawiki.org/",
Yes,/index.php/SUDEP:_Overview_of_definitions_and_review_of_incidence_data,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Epilepsy,_vagal_nerve_stimulation_by_the_NCP_system,_mortality,_and_sudden,_unexpected,_unexplained_death","/index.php//www.mediawiki.org/","/index.php/Epilepsy,_vagal_nerve_stimulation_by_the_NCP_system,_all-cause_mortality,_and_sudden,_unexpected,_unexplained_death"
Yes,"/index.php/Epilepsy,_vagal_nerve_stimulation_by_the_NCP_system,_all-cause_mortality,_and_sudden,_unexpected,_unexplained_death","/index.php/index.php/Epilepsy,_vagal_nerve_stimulation_by_the_NCP_system,_mortality,_and_sudden,_unexpected,_unexplained_death//www.mediawiki.org/",
Yes,/index.php/United_States_perspective_on_definitions_and_classifications,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected,_unexplained_death_in_epilepsy_autopsied_patients","/index.php/index.php/Verbal_autopsies_and_SUDEP//www.mediawiki.org/",
Yes,/index.php/Diagnostic_accuracy_of_audio-based_seizure_detection_in_patients_with_severe_epilepsy_and_an_intellectual_disability,"/index.php//www.mediawiki.org/",
Yes,/index.php/Physical_activity_in_sudden_unexpected_death_in_epilepsy:_Much_more_than_a_simple_sport,"/index.php//www.mediawiki.org/",
Yes,/index.php/Clinical_features_of_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Periodic_respiratory_pattern_occurring_in_conjunction_with_eye_movements_during_sleep,"/index.php//www.mediawiki.org/",
No,/index.php/Lamotrigine_in_idiopathic_epilepsy_â€“_Increased_risk_of_cardiac_death?,,/index.php/An_insufficient_effect_of_lamotrigine_leading_to_fatal_seizures
Yes,/index.php/An_insufficient_effect_of_lamotrigine_leading_to_fatal_seizures,"/index.php/index.php/Lamotrigine_in_idiopathic_epilepsy_â€“_Increased_risk_of_cardiac_death?//www.mediawiki.org/",
Yes,/index.php/New_SCN5A_mutation_in_a_SUDEP_victim_with_idiopathic_epilepsy,"/index.php//www.mediawiki.org/",/index.php/Increased_QT_dispersion_in_epileptic_children
Yes,/index.php/Postictal_breathing_pattern_distinguishes_epileptic_from_nonepileptic_convulsive_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/On_the_modes_of_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Exome-based_analysis_of_cardiac_arrhythmia,_respiratory_control_and_epilepsy_genes_in_sudden_unexpected_death_in_epilepsy","/index.php//www.mediawiki.org/",
Yes,"/index.php/Ictal_hypoxemia_in_localization-related_epilepsy:_Analysis_of_incidence,_severity_and_risk_factors","/index.php//www.mediawiki.org/",/index.php/Oxygen_desaturations_triggered_by_partial_seizures:_Implications_for_cardiopulmonary_instability_in_epilepsy
Yes,/index.php/Ictal_hypoventilation_contributes_to_cardiac_arrhythmia_and_sudep:_Report_on_two_deaths_in_video-eeg-monitored_patients,"/index.php//www.mediawiki.org/",
Yes,/index.php/Ictal_hypoventilation_contributes_to_cardiac_arrhythmia_and_SUDEP:_report_on_two_deaths_in_video-EEG-monitored_patients,"/index.php//www.mediawiki.org/",
Yes,/index.php/SSRI_are_associated_with_reduced_severity_of_ictal_hypoxemia_in_medically_refractory_partial_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Dynamics_of_convulsive_seizure_termination_and_postictal_generalized_EEG_suppression,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epilepsy._Risk_factors,_possible_225_mechanisms_and_prevention:_A_reappraisal","/index.php//www.mediawiki.org/",
Yes,/index.php/Seasonality_as_a_risk_factor_for_sudden_unexpected_death_in_epilepsy:_A_study_in_a_large_cohort,"/index.php//www.mediawiki.org/",
Yes,/index.php/Carbamazepine_and_cardiac_conduction_disturbances,"/index.php//www.mediawiki.org/",
Yes,/index.php/Quantitative_analysis_of_surface_electromyography:_Biomarkers_for_convulsive_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_young_adults_including_four_cases_of_SADS:_A_10-year_review_from_the_west_of_Ireland,"/index.php//www.mediawiki.org/",
Yes,/index.php/Review_of_the_legal_obligations_of_the_doctor_to_discuss_Sudden_Unexplained_Death_in_Epilepsy_(SUDEP)_â€“_A_cohort_controlled_comparative_cross-matched_study_in_an_outpatient_epilepsy_clinic,"/index.php//www.mediawiki.org/",/index.php/Sudden_unexpected_death_in_epilepsy:_A_search_for_risk_factors
Yes,/index.php/Mortality_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sinus_node_recovery_time_assessment_revisited:_Role_of_pharmacologic_blockade_of_the_autonomic_nervous_system,"/index.php//www.mediawiki.org/",
No,/index.php/Microglia_PACAP_and_glutamate:_Friends_or_foes_in_seizure-induced_autonomic_dysfunction_and_SUDEP?,,
No,/index.php/Sudden_unexplained_death_explained?,,
Yes,/index.php/Sudden_unexplained_death_in_epilepsy:_An_intracranially_monitored_case,"/index.php//www.mediawiki.org/",
Yes,/index.php/SUDEP_â€“_Whether_to_tell_and_when,"/index.php//www.mediawiki.org/",
Yes,/index.php/Oxygen_desaturations_triggered_by_partial_seizures:_Implications_for_cardiopulmonary_instability_in_epilepsy,"/index.php/index.php/Ictal_hypoxemia_in_localization-related_epilepsy:_Analysis_of_incidence,_severity_and_risk_factors//www.mediawiki.org/",/index.php/Incidence_and_mechanisms_of_cardiorespiratory_arrests_in_epilepsy_monitoring_units_(MORTEMUS):_a_retrospective_study
Yes,/index.php/Electrocardiographic_accompaniments_of_temporal_lobe_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Premature_deaths_in_persons_with_seizure_disorders_â€“_Subtherapeutic_levels_of_anticonvulsant_drugs_in_postmortem_blood_specimens,"/index.php//www.mediawiki.org/",
Yes,/index.php/Increased_pulmonary_vascular_permeability_follows_intracranial_hypertension_in_sheep,"/index.php//www.mediawiki.org/",
Yes,/index.php/Ischemic_and_anoxic_dissolution_of_the_supramedullary_control_of_respiration,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_ictal_bradycardia_syndrome:_Localization_and_lateralization,"/index.php//www.mediawiki.org/",
No,/index.php/When_are_episodes_of_loss_of_consciousness_life-threatening?,,
No,/index.php/Should_patients_or_their_families_be_told_of_the_risk_of_Sudden_Unexplained_Death_in_Epilepsy?,,
No,/index.php/Should_all_patients_be_told_about_sudden_unexpected_death_in_epilepsy_(SUDEP)?_Pros_and_Cons,,
Yes,/index.php/Lengthening_of_corrected_QT_during_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_death_and_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Death_in_the_shadows,"/index.php//www.mediawiki.org/",
Yes,/index.php/Death_in_children_with_epilepsy:_A_population-based_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_people_with_epilepsy:_A_pediatric_perspective,"/index.php//www.mediawiki.org/",
Yes,/index.php/Asystole_induced_by_partial_seizures:_A_rare_cause_of_syncope,"/index.php//www.mediawiki.org/",
Yes,/index.php/Detecting_nocturnal_convulsions:_Efficacy_of_the_MP5_monitor,"/index.php//www.mediawiki.org/",
Yes,/index.php/Effect_of_phenobarbital_pretreatment_on_cardiac_neural_discharge_and_pentylenetetrazol-induced_epileptogenic_activity_in_the_cat,"/index.php//www.mediawiki.org/",
Yes,/index.php/An_observation_of_the_effect_of_the_electrical_stimulation_of_the_temporal_lobes_on_blood_pressure_in_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Effect_upon_blood_pressure_of_electrical_stimulation_of_tips_of_temporal_lobes_in_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Physiological_evidence_concerning_importance_of_the_amygdaloid_nuclear_region_in_the_integration_of_circulatory_function_and_emotion_in_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Present_status_of_the_relationship_of_brain_structures_to_the_circulation_and_emotional_expression_in_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Stiripentol_in_severe_myoclonic_epilepsy_in_infancy:_a_randomised_placebo-controlled_syndrome-dedicated_trial._STICLO_study_group,"/index.php//www.mediawiki.org/",
Yes,/index.php/A_case_of_neurogenic_pulmonary_edema_associated_with_epileptic_seizure,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_mortality_and_morbidity_of_febrile_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/A_population-based_post_mortem_study_of_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cerebrospinal_fluid_adenosine_concentration_and_uncoupling_of_cerebral_blood_flow_and_oxidative_metabolism_after_severe_head_injury_in_humans,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_from_epilepsy:_Results_from_a_prospective_population-based_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Switching_of_the_respiratory_phases_and_evoked_phrenic_responses_produced_by_rostral_pontine_electrical_stimulation,"/index.php//www.mediawiki.org/",
Yes,/index.php/Pulmonary_afferent_and_central_influences_on_respiratory_phase-switching_in_the_cat,"/index.php//www.mediawiki.org/",
Yes,/index.php/Partial_epilepsy_presenting_as_episodic_dyspnea:_A_specific_network_involved_in_limbic_seizure_propagation,"/index.php//www.mediawiki.org/",
Yes,/index.php/Decreased_neuronal_burst_discharge_near_site_of_seizure_onset_in_epileptic_human_temporal_lobes,"/index.php//www.mediawiki.org/",
Yes,/index.php/Neuronal_synchrony_in_relation_to_burst_discharge_in_epileptic_human_temporal_lobes,"/index.php//www.mediawiki.org/",
Yes,/index.php/Interspike_intervals_during_interictal_periods_in_human_temporal_lobe_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Bradycardia_and_syncope_as_manifestations_of_partial_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_in_Dravet_Syndrome,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_arrhythmias_and_SUDEP--Commentary_on_Hindocha_et_al.,"/index.php//www.mediawiki.org/",
Yes,/index.php/Activation_of_limbic_structures_during_CO2-stimulated_breathing_in_awake_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Evidence_for_limbic_system_activation_during_CO2-stimulated_breathing_in_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Effects_of_phenobarbital_on_cerebral_blood_flow_during_hypoxia,"/index.php//www.mediawiki.org/",
Yes,/index.php/Partial_seizures_with_apnea_and_bradycardia,"/index.php//www.mediawiki.org/",
Yes,/index.php/Coronersâ€™_autopsy_reporting_of_sudden_unexplained_death_in_epilepsy_(SUDEP)_in_the_UK,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cerebral_correlates_of_autonomic_cardiovascular_arousal:_A_functional_neuroimaging_investigation_in_humans,"/index.php//www.mediawiki.org/",
Yes,/index.php/Phenytoin_and_phenobarbital_inhibit_human_HERG_potassium_channels,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Effects_of_the_antiepileptic_drugs_lamotrigine,_topiramate_and_gabapentin_on_hERG_potassium_currents","/index.php//www.mediawiki.org/",
Yes,/index.php/Effects_of_seizure_severity_and_seizure_repetition_on_postictal_cardiac_arrhythmia_following_maximal_electroshock,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_dysrhythmia_associated_with_the_immediate_postictal_state_after_maximal_electroshock_in_freely_moving_rat,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_a_series_from_an_epilepsy_surgery_program_and_speculation_on_the_relationship_to_sudden_cardiac_death,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_of_epileptic_patient_due_to_cardiac_arrhythmia_after_seizure,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_long_QT_syndrome_and_seizures_in_childhood,"/index.php//www.mediawiki.org/",
No,/index.php/The_mystery_of_Gustave_Flaubert's_death:_could_sudden_unexpected_death_in_epilepsy_be_part_of_the_context?,,
Yes,/index.php/Interactions_between_respiration_and_circulation,"/index.php//www.mediawiki.org/",
No,/index.php/Is_there_progress_in_the_autopsy_diagnosis_of_sudden_unexpected_death_in_adults?,,
Yes,"/index.php/N-3_fatty_acids_(fish_oil)_for_epilepsy,_cardiac_risk_factors,_and_risk_of_SUDEP:_clues_from_a_pilot,_double-blind,_exploratory_study","/index.php//www.mediawiki.org/",
Yes,/index.php/Circulatory_effects_of_cortical_stimulation,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexplained_death_among_subjects_with_refractory_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_in_children_with_epilepsy._A_clinical_prospective_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_manifestations_of_complex_partial_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Interictal_autonomic_nervous_system_function_in_patients_with_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Bradycardia_and_asystole_induced_by_partial_seizures:_A_case_report_and_literature_review,"/index.php//www.mediawiki.org/",
Yes,/index.php/Effects_of_Seizures_on_Autonomic_and_Cardiovascular_Function,"/index.php//www.mediawiki.org/",
Yes,/index.php/Recognizing_and_preventing_epilepsy-related_mortality:_A_call_for_action,"/index.php//www.mediawiki.org/",
Yes,/index.php/SUDEP:_The_death_of_nihilism,"/index.php//www.mediawiki.org/",
Yes,/index.php/Underestimation_of_sudden_deaths_among_patients_with_seizures_and_epilepsy,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epilepsy:_epidemiology,_mechanisms,_and_prevention","/index.php//www.mediawiki.org/",
Yes,/index.php/Breathing_inhibited_when_seizures_spread_to_the_amygdala_and_upon_amygdala_stimulation,"/index.php/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states//www.mediawiki.org/",/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states
Yes,/index.php/The_cardiac_sodium_channel_mRNA_is_expressed_in_the_developing_and_adult_rat_and_human_brain,"/index.php//www.mediawiki.org/",/index.php/Increased_QT_dispersion_in_epileptic_children
Yes,/index.php/Sudden_unexplained_death_in_children_with_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/After_sudden_unexpected_death_in_epilepsy:_Lessons_learned_and_the_road_forward,"/index.php//www.mediawiki.org/",
Yes,/index.php/Electrocardiography_in_epilepsy_patients_without_cardiac_symptoms,"/index.php//www.mediawiki.org/",
Yes,/index.php/Electrophysiologic_assessment_of_autonomic_function_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Severe_myoclonic_epilepsy_in_infancy:_Dravet_syndrome,"/index.php//www.mediawiki.org/",
Yes,/index.php/Interictal_cardiac_autonomic_dysfunction_in_temporal_lobe_epilepsy_demonstrated_by_123I-metaiodobenzylguanidine-SPECT,"/index.php//www.mediawiki.org/",
Yes,/index.php/Limbic_forebrain_and_midbrain_modulation_and_phase-switching_of_expiratory_neurons,"/index.php//www.mediawiki.org/",
Yes,/index.php/Limbic_system_modulation_of_respiratory_neurones,"/index.php//www.mediawiki.org/",
No,/index.php/Cardiac_side_effects_of_phenytoin_and_carbamazepine._A_dose-related_phenomenon?,,
Yes,/index.php/Adenosine:_a_potential_mediator_of_seizure_arrest_and_post-ictal_refractoriness,"/index.php//www.mediawiki.org/",
Yes,/index.php/Impaired_baroreflex_function_in_temporal_lobe_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cerebral_autoregulation_improves_in_epilepsy_patients_after_temporal_lobe_surgery,"/index.php//www.mediawiki.org/",
Yes,/index.php/Non-invasive_assessment_of_cardioregulatory_autonomic_functions_in_children_with_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_rhythm_during_temporal_lobe_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_activity_during_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Time_and_frequency_domain_analyses_of_heart_rate_variability_in_patients_with_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Post-mortem_findings_of_cardiac_lesions_in_epileptics:_a_preliminary_report,"/index.php//www.mediawiki.org/",/index.php/Age-specific_peri-ictal_electroclinical_features_of_generalized_tonic-clonic_seizures_and_potential_risk_of_sudden_unexpected_death_in_epilepsy_SUDEP
Yes,/index.php/Nonadherence_to_antiepileptic_drugs_and_increased_mortality:_findings_from_the_RANSOM_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Central_cardio-autonomic_disorganization_in_interictal_states_of_epilepsy_detected_by_phase_space_analysis,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Breathing:_rhythmicity,_plasticity,_chemosensitivity","/index.php//www.mediawiki.org/",
Yes,/index.php/Heart_rate_variability_during_sleep_in_children_with_partial_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexplained_death_and_injury_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_asystole_masquerading_as_temporal_lobe_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Population-based_study_of_the_incidence_of_sudden_unexplained_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiopulmonary_surveillance_to_prevent_SUDEP,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_Impact_on_clinical_practice,"/index.php//www.mediawiki.org/",
Yes,/index.php/Age-specific_peri-ictal_electroclinical_features_of_generalized_tonic-clonic_seizures_and_potential_risk_of_sudden_unexpected_death_in_epilepsy_SUDEP,"/index.php/index.php/Post-mortem_findings_of_cardiac_lesions_in_epileptics:_a_preliminary_report//www.mediawiki.org/",
Yes,/index.php/Autonomic_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/294_medicolegal_autopsies_on_epileptics:_Cerebral_findings,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_Knowledge_and_experience_among_US_and_Canadian_neurologists,"/index.php//www.mediawiki.org/",
Yes,/index.php/Seizure-related_injuries_are_underreported_in_pharmacoresistant_localization-related_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Recurring_discharge_patterns_in_multiple_spike_trains,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_and_respiratory_relationships_with_neural_discharge_in_the_anterior_cingulate_cortex_during_sleep-walking_states,"/index.php//www.mediawiki.org/",
